Parameter,Description
`data_source`<br>_object_<br>**required**,"One of: `kbn-data-view-reference-schema`, `kbn-data-view-spec-schema`."
`ignore_global_filters`<br>_boolean_,"If true, ignore global filters when fetching data for this layer. Default is false."
`sampling`<br>_number_,Sampling factor between 0 (no sampling) and 1 (full sampling). Default is 1.
`thresholds`<br>_array_<br>**required**,"Array of reference line thresholds. Items: `countMetricOperation`, `uniqueCountMetricOperation`, `minMaxAvgMedianStdDevMetricOperation`, `sumMetricOperation`, `lastValueOperation`, `percentileOperation`, `percentileRanksOperation`, `staticOperationDefinition`, `formulaOperation`."
`type`<br>_string_<br>**required**,"Possible values: `""reference_lines""`."
